timestamp,username,user_id,average_comments,average_likes,following_count,follower_count,media_posts,bot
2019-03-15T07:36:35.887861089Z,darya97915814,7638765328,1.8333333333333333,134.41666666666666,612,848,262,1
2019-03-15T07:34:44.344995812Z,nahid___shams,8787544980,0.25,11.833333333333334,4524,698,519,1
2019-03-15T07:15:20.271604857Z,hadiseh__momenzadeh,9309417653,14.25,362,7497,5833,173,1
2019-03-15T07:30:45.808498293Z,gapamru,6750870048,1.6666666666666667,8.833333333333334,60,51,6,0
2019-03-15T07:23:55.372381874Z,lwyshhbchhhzrh,8673731246,0.16666666666666666,17.166666666666668,978,148,34,1
2019-03-15T07:19:41.675353917Z,takhtgaz_shiraz,7464482952,10.416666666666666,930.4166666666666,122,12876,129,1
2019-03-15T07:01:57.436643156Z,ckazem_safari,3918711691,2.6,95.46666666666667,401,631,22,1
2019-03-15T07:44:48.392684486Z,storecentroingrosso,572737068,0.3333333333333333,34.833333333333336,2810,5053,1140,1
2019-03-15T07:17:48.820178644Z,gandi_amlak,3618426707,1.3333333333333333,47.083333333333336,7472,5142,116,1
2019-03-15T07:22:10.641122058Z,jbr2648,5367483526,0,0,50,9,0,1
2019-03-15T07:39:53.17431339Z,atefe.choopani,1771144102,19.25,185.58333333333334,729,887,307,0
2019-03-15T07:02:24.610599331Z,boxing_club_bologna_,7145455320,1.5833333333333333,29.666666666666668,462,237,150,0
2019-03-15T07:27:27.55560197Z,yusifov.r_,7158598315,0.16666666666666666,8.416666666666666,402,110,229,1
2019-03-15T07:08:01.978205907Z,hamidreza_razaghi,2708290217,27.416666666666668,1127.3333333333333,4522,7726,89,0
2019-03-15T07:52:02.158258473Z,seyyedhamed,543868188,17,120.85714285714286,457,539,84,0
2019-03-15T07:43:31.677592835Z,setareh.faraz.94,2212690969,5.5,241.75,5024,5740,8,1
2019-03-15T07:13:51.271982343Z,kolbiaghareza,8173638175,4.916666666666667,38.916666666666664,191,161,25,0
2019-03-15T07:24:27.612567106Z,smarthomehantaibms4699,10661966426,1.5,13.833333333333334,2780,490,65,1
2019-03-15T07:41:58.426082809Z,ishan_wickramasingha,7105735028,0.16666666666666666,31.5,327,136,29,1
